# Dictionary file - Format: word|meaning1;meaning2;meaning3
# Generated by Advanced Dictionary System

another|additional;different;one more;some other;alternative
answer|something said in response;solution;respond;be suitable
anticipate|regard as probable;expect;predict;act in advance
anxiety|feeling of worry;nervousness;concern;eagerness to do
anxious|experiencing worry;eager;uneasy;causing anxiety
any|one or some;whichever;at all;to any extent
anybody|any person;person of importance;anyone
anymore|to any further extent;any longer;from now on
anyone|any person;person of importance;anybody
anything|thing no matter what;something;at all
anyway|used to emphasize;nevertheless;anyhow;in any manner
anywhere|in or to any place;used for emphasis;any location
apart|separated by distance;to pieces;to one side;aside from
apartment|suite of rooms;flat;set of rooms;residence
apologize|express regret;acknowledge fault;make apology;defend
apparent|clearly visible;obvious;seeming real;evident
appeal|make serious request;be attractive;legal proceeding;quality
appear|become visible;seem;present oneself;be published;come into being
appearance|way someone looks;act of appearing;outward show
appetite|natural desire for food;inclination;desire for
apple|round fruit with red or green skin;tree bearing apples
application|formal request;action of applying;computer program
apply|make formal request;be relevant;put into operation;give attention
appoint|assign job to someone;determine time or place;fix
appreciate|recognize value of;be grateful for;understand fully;rise in value
approach|come near;way of dealing with;approximate;proposal;access
appropriate|suitable;proper;take for one's use;fitting
approval|action of approving;favorable opinion;official permission;sanction
approve|officially agree to;have favorable opinion;confirm
approximate|close to actual;almost accurate;come close to;estimate
april|fourth month of year;spring month
area|region or part;extent of surface;subject;scope
argue|give reasons for or against;exchange views;quarrel;prove
argument|exchange of diverging views;reason given;quarrel;debate
arise|emerge;originate;get up;result from;come into being
arm|upper limb;weapon;branch;supply with weapons;prepare for war
army|organized military force;large number;host
around|on every side;approximately;so as to face another way
arrange|put in order;organize;settle;come to agreement
arrest|seize by authority;stop;capture attention;seizure
arrival|act of arriving;person who has arrived;attainment
arrive|reach destination;be successful;happen;come to place
art|expression of creative skill;works of art;branch of learning
article|particular item;piece of writing;separate clause;word like a or the
artificial|made by humans;not natural;affected;insincere;man-made
artist|person who creates art;skilled performer;artiste
as|to same extent;in capacity of;during;because;while
ashamed|embarrassed or guilty;reluctant through fear;feeling shame
aside|to one side;apart;away from others;remark not heard by all
ask|request information;request;invite;require;expect payment
asleep|in state of sleep;sleeping;inactive;numb;dead
aspect|particular feature;appearance;side of building;viewpoint
assault|violent attack;military attack;make assault on
assemble|fit together parts;gather together;compile program code
assembly|group gathered together;act of assembling;legislative body
assert|state forcefully;cause to be recognized;defend
assess|evaluate or estimate;calculate;determine value of
asset|useful thing;property owned;quality;advantage
assign|allocate task;transfer right;appoint to position;attribute
assist|help;give support;be present as helper;aid
assistance|help or support;act of assisting;aid
assistant|person who helps;helper;aide;subordinate;helping
associate|connect in mind;join;partner;colleague;member
association|group organized for purpose;connection;mental connection
assume|suppose to be true;take responsibility;adopt;take on
assure|tell confidently;make certain;insure;convince
astonish|surprise greatly;amaze;shock;astound
athlete|person trained in sports;competitor;physically fit person
atmosphere|envelope of gases;air in place;pervading mood
attach|fasten;join;attribute;be fond of;assign on temporary basis
attack|take aggressive action;criticize;begin to deal with;assault
attain|succeed in achieving;reach;accomplish;arrive at
attempt|make effort to achieve;try;effort;attack
attend|be present at;go regularly to;pay attention;accompany
attention|notice taken;faculty of considering;care;mental concentration
attitude|settled way of thinking;position of body;disposition
attorney|lawyer;person appointed to act;legal representative
attract|draw by appeal;cause to come;evoke interest;be attractive to
attractive|pleasing to look at;appealing;having beneficial quality
attribute|quality regarded as characteristic;ascribe to;regard as caused by
audience|assembled spectators;formal interview;public reached
august|eighth month of year;summer month;inspiring awe
aunt|sister of one's parent;uncle's wife;female relative
author|writer of book;originator;be author of;write
authority|power to give orders;person with knowledge;government agency
automatic|working by itself;done without thought;inevitable
automobile|road vehicle powered by engine;car;motor vehicle
autumn|season after summer;period of maturity;fall
available|able to be used;at disposal;obtainable;free
average|arithmetic mean;standard level;ordinary;calculate mean
avoid|keep away from;prevent;refrain from;evade
awake|stop sleeping;aware;rouse from sleep;not asleep
award|give officially;prize given;grant;judicial decision
aware|having knowledge;conscious;informed;vigilant
away|to or at distance;constantly;into nonexistence;absent
awful|very bad;dreadful;inspiring awe;extremely;great
awkward|causing difficulty;not smooth;embarrassing;inconvenient
baby|very young child;infant;youngest member;sweetheart;treat indulgently
back|rear surface;position behind;support;return;ago
background|part behind main objects;circumstances;experience;setting
backward|directed behind;less progress;reverse;shy;behind in progress
bad|poor quality;unpleasant;severe;wicked;harmful;rotten
badly|in unsatisfactory way;severely;very much;seriously
bag|container with opening;handbag;catch or kill;put in bag
bake|cook by dry heat;be subjected to heat;harden by heat
balance|even distribution of weight;stability;remainder;keep steady
ball|solid sphere;formal dance;game;rounded part
ban|official prohibition;officially forbid;curse
band|thin strip;range of values;group of musicians;form group
bank|financial institution;land along water;heap;rely on
bar|long piece of rigid material;counter;obstacle;prevent;bolt
bare|not clothed;without cover;basic;minimum;uncover
barely|only just;scarcely;plainly;openly
bargain|agreement on deal;thing bought cheaply;negotiate;expect
barrier|fence or obstacle;circumstance preventing progress;limit
base|lowest part;foundation;headquarters;establish on;morally low
basic|forming essential foundation;fundamental;elementary
basis|underlying support;foundation;starting point;main component
basket|container of woven material;goal in basketball;group
bath|container for bathing;act of washing;wash in bath
bathroom|room with bath;toilet;place to wash
battery|container of cells;set of similar units;assault;series
battle|fight between forces;struggle;fight;engage in battle
bay|broad inlet of sea;recess in wall;laurel;bark;tree;horse
be|exist;occur;take place;stay;auxiliary verb
beach|shore of sea;sandy shore;run boat onto beach
bear|large mammal;carry;support;endure;give birth;turn
beard|facial hair on chin;oppose boldly;front part
beat|strike repeatedly;defeat;stir vigorously;throb;rhythm
beautiful|pleasing to senses;excellent;very good;delighting
beauty|combination of pleasing qualities;beautiful person;advantage
because|for reason that;on account of;by reason of
become|begin to be;grow to be;be appropriate;suit
bed|furniture for sleeping;garden plot;layer;base;bottom
bedroom|room for sleeping;sleeping accommodation
bee|flying insect;gathering for communal work;busy person
been|past participle of be;existed;occurred;present
beer|alcoholic drink from malt;glass of beer;fermented drink
before|during period preceding;in front of;rather than;previously
beg|ask earnestly;ask for charity;entreat;take for granted
begin|start;perform first part;come into being;origin
beginning|time at which something begins;origin;first part
behalf|in interests of;as representative of;on part of
behave|act in way;conduct oneself;function properly
behavior|way one acts;treatment of others;response to stimulus
behind|at rear of;in support of;less advanced;remaining after
being|existence;nature;living creature;present participle of be
belief|acceptance as true;trust;religious faith;thing believed
believe|accept as true;have faith;think or suppose;trust
bell|hollow metal object that rings;sound;device giving signal
belong|be property of;be member of;fit in environment;be rightly placed
below|at lower level;lower in rank;further on;beneath
belt|strip worn around waist;continuous band;region;hit;fasten
bench|long seat;judge's seat;work table;judges;exhibit
bend|shape into curve;force to submit;stoop;turn;curve
beneath|extending under;below;unworthy of;covered by
benefit|advantage;payment from state;receive advantage;be useful to
beside|at side of;compared with;irrelevant to;next to
besides|in addition to;apart from;moreover;as well;other than
best|of excellent quality;most appropriate;outwit;defeat;finest
bet|risk money on outcome;pledge;informal opinion;wager
better|of more excellent quality;more appropriate;improve;recover
between|at space separating;in interval;shared by;to and from
beyond|at further side of;happening after;outside range;apart from
bible|Christian scriptures;copy of scriptures;authoritative book
bicycle|vehicle with two wheels;ride bicycle;two-wheeled vehicle
big|considerable size;important;generous;ambitious;elder;older
bike|bicycle or motorcycle;ride bicycle;two-wheeled vehicle
bill|statement of charges;draft of law;program;poster;beak
billion|thousand million;very large number;innumerable
bind|tie together;hold together;impose obligation;fasten;restrain
biology|science of living organisms;fauna and flora of region
bird|warm-blooded vertebrate with feathers;young woman;person
birth|emergence of baby;beginning;ancestry;noble lineage
birthday|anniversary of birth;day on which born;celebration
bit|small piece;short time;unit of information;coin;somewhat
bite|cut with teeth;grip;be pungent;act of biting;wound
bitter|having sharp taste;painful;feeling anger;cold;harsh
black|darkest color;without light;of dark-skinned people;evil
blade|cutting edge;flat part;leaf of grass;dashing man
blame|assign responsibility for fault;responsibility;find fault with
blank|not marked;without expression;empty space;cartridge;ignore
blanket|large covering;thick layer;covering all cases;cover
blind|unable to see;unwilling to notice;deprive of sight;window screen
block|solid piece;obstacle;group of buildings;obstruct;section
blood|red liquid in body;family background;violence;temperament
blow|move creating current;be moved by air;explode;breathe hard
blue|color like sky;sad;indecent;unexpectedly;depressed
board|long flat piece;provision of meals;group;get on vehicle
boat|vessel for water travel;dish;travel by boat;small vessel
body|physical structure;main part;group;corpse;consistency
boil|reach boiling temperature;cook;be very hot;be agitated
bold|confident and brave;daring;striking;clear;not shy
bomb|explosive container;large sum;fail badly;attack with bombs
bond|thing used to tie;agreement;emotional connection;join securely
bone|hard tissue of skeleton;piece of bone;remove bones from
book|written work;bound sheets;reserve;record bet;make reservation
boot|covering for foot;trunk of car;kick;start computer
border|edge or boundary;ornamental strip;form edge;adjoin
bore|make hole;hollow out;tire by dullness;diameter;dull person
born|existing from birth;natural;having nationality;brought into being
borrow|take temporarily;take and use ideas;obtain money temporarily
boss|person in charge;stud;give orders;be in charge of
both|two people or things;not only but also;the two;alike
bother|take trouble;worry;cause annoyance;trouble;pest
bottle|container with neck;courage;place in bottles;feed with bottle
bottom|lowest point;farthest point;buttocks;lowest in position
boundary|line marking limits;border;limit;edge
bowl|round container;rounded part;roll ball;stadium;dish
box|container with sides;separate area;slap;fight;package
boy|male child;young man;son;man;exclamation
brain|organ of thought;intellectual capacity;intelligent person;hit head
branch|part of tree;subdivision;local office;divide;diverge
brand|type of product;trademark;mark;stigmatize;burn
brave|ready to face danger;endure;courageous person;warrior
bread|food from flour and water;money;livelihood;coat with crumbs
break|separate into pieces;interrupt;surpass;fail to observe;pause
breakfast|first meal of day;eat breakfast;morning meal
breast|either organ on chest;chest;source of emotion;face
breath|air taken in;slight movement of air;power to breathe
breathe|take air into lungs;be alive;utter;express;pause
breed|produce offspring;raise animals;result in;variety;sort
bridge|structure carrying road;upper nose;card game;connect
brief|lasting short time;concise;instruct;summary;short duration
bright|giving much light;vivid;intelligent;cheerful;promising
brilliant|very bright;clever;excellent;outstanding;lustrous
bring|carry to place;cause to come;result in;institute
broad|wide;large in area;general;obvious;strongly regional
broadcast|transmit by radio;program;scattered;disseminate widely
brother|man in relation to siblings;male member;fellow man
brown|color between red and yellow;tanned;make brown;sunburned
brush|implement with bristles;act of brushing;touch lightly;clean
budget|estimate of spending;amount allotted;plan spending;cheap
build|construct;establish;increase;style;bodily form
building|structure with walls;constructing;edifice;establishment
bullet|projectile from gun;small symbol;heavy ball
bunch|number together;group;gather;cluster;bouquet
burden|heavy load;oppressive duty;load;capacity;theme
burn|be consumed by fire;damage by fire;feel hot;injury
burst|break suddenly;be full;sudden outbreak;split open
bury|put in ground;hide;embed;conceal;overwhelm
bus|large passenger vehicle;transport by bus;clear tables
business|trade;commercial activity;work;affair;right
busy|occupied;full of activity;make busy;active;fussy
but|used for contrast;except;only;merely;objection
butter|fatty food from cream;spread with butter;flatter
button|small disc on garment;knob pressed;fasten;badge
buy|obtain for money;believe;acquire;bargain;purchase
by|through action of;near;past;not later than;according to
call|cry out;summon;telephone;name;shout;visit;demand
calm|not excited;tranquil;make calm;quiet;peace;stillness
came|past of come;arrived;moved toward;happened
camera|device for photographs;equipment for filming;judge's chamber
camp|temporary accommodation;stay outdoors;faction;affected;military quarters
campaign|organized action;military operation;work toward goal;series of operations
can|be able to;metal container;preserve in can;know how to
cancel|decide not to do;annul;mark to show used;offset;deletion
cancer|disease of cells;malignant tumor;evil thing;zodiac sign
candidate|person applying;person nominated;person taking exam
candle|stick of wax with wick;unit of light;examine by candle
cap|soft hat;covering;upper limit;cover top;surpass
capable|able to achieve;competent;having capacity;able;talented
capacity|maximum amount;ability;position;legal competence;volume
capital|chief city;accumulated wealth;uppercase letter;punishable by death
captain|person in command;officer rank;leader;be captain of
capture|take by force;record;gain control;act of capturing
car|road vehicle;railroad carriage;part of elevator
card|stiff paper;greeting card;playing card;circuit board
care|protection;serious attention;worry;feel concern;look after
career|occupation;course through life;move swiftly;profession
careful|avoiding harm;done with care;cautious;thorough
carefully|in careful manner;cautiously;with attention to detail
careless|not giving attention;done without care;carefree;negligent
cargo|goods carried;freight;load of ship
carpenter|person making wooden things;do carpentry;woodworker
carpet|floor covering;layer;cover with carpet;large expanse
carriage|vehicle with horses;carrying;bearing;railroad car
carry|support weight;transport;have on person;win;continue
case|instance;container;legal action;arguments;situation
cash|money in coins;pay with cash;convert to money;ready money
cast|throw;cause to appear;shed;shape in mold;actors
castle|large fortified building;move in chess;fortress;mansion
cat|small domesticated animal;wild feline;spiteful woman
catch|intercept;capture;contract;become ignited;fastening
category|class or division;collection of things;grouping
cause|thing producing effect;reason;principle;make happen;bring about
ceiling|upper surface of room;upper limit;altitude;maximum
celebrate|mark with festivities;honor;perform ceremony;praise
cell|small room;compartment;electrical device;basic unit of life
cent|monetary unit;coin worth one hundredth;hundred
center|middle point;place of activity;focus;place in middle
central|in center;most important;from center;principal;main
century|period of hundred years;score of hundred runs;hundred years
ceremony|formal occasion;formalities;ritual;rite;protocol
certain|definite;convinced;reliable;some;inevitable;sure
certainly|definitely;admittedly;yes;surely;without doubt
certificate|official document;document of achievement;testimonial
chain|connected links;sequence;restraint;fasten with chain
chair|seat with back;professorship;position;preside over;carry
chairman|person presiding;permanent president;chairperson
challenge|dispute;invite to contest;demanding task;test;objection
chamber|large room;assembly hall;cavity;compartment;bedroom
champion|person winning;fighter for cause;support;defend;winner
chance|possibility;opportunity;unplanned;happen;risk;fortune
change|make different;replace;exchange;alteration;coins
channel|length of water;passage;wavelength;direct;duct
chapter|division of book;period;governing body;branch
character|distinctive nature;moral strength;person in story;reputation
characteristic|typical;distinguishing feature;trait;quality
charge|ask price;accuse;rush forward;price;care;attack
charity|help to needy;organization;love;tolerance;alms
charm|power of attracting;trinket;spell;delight;attractiveness
chart|sheet with information;map;plot on chart;diagram
chase|pursue to catch;drive away;rush;hunting;pursuit
cheap|low in price;of poor quality;stingy;inexpensive
cheat|act dishonestly;deceive;avoid;deceiving person;swindle
check|examine;stop;find out;test;pattern;bill;restraint
cheek|side of face;impudent speech;buttock;audacity
cheer|shout of joy;cheerfulness;shout for;comfort;encourage
cheese|food from milk;round object;stop;dairy product
chemical|relating to chemistry;compound;substance made by chemistry
chemistry|science of substances;chemical attraction;composition
chest|upper body;large box;treasury;breast;funds
chicken|domestic fowl;meat;cowardly person;coward;timid
chief|leader;most important;mainly;head;principal;boss
child|young person;son or daughter;descendant;immature person
childhood|period of being child;early period;youth
china|fine ceramic;dishes;porcelain;country in Asia
chip|small piece;mark where piece removed;microchip;break off
chocolate|food from cacao;drink;dark brown;candy
choice|act of choosing;range to choose;right;of high quality
choose|pick out;decide;prefer;select;elect;opt
church|building for worship;Christian body;service;congregation
cigarette|cylinder of tobacco;smoke stick;narrow cylinder
cinema|theater for films;production of films;movies
circle|round figure;ring;group;move in circle;curved line
circumstance|fact or condition;financial situation;detail;situation
citizen|person with rights;inhabitant;civilian;national
city|large town;town with status;financial district;metropolis
civil|relating to citizens;polite;not military;courteous
claim|state as fact;demand;assert right;assertion;right
class|set with attributes;social division;lesson;category;classify
classical|standard;ancient Greek;traditional music;exemplary
classroom|room for class;place of instruction;schoolroom
clean|free from dirt;morally pure;complete;make clean;free from marks
clear|easy to perceive;free from obstruction;obvious;make clear;transparent
clearly|in clear manner;obviously;without doubt;plainly
clerk|person keeping records;official;salesperson;work as clerk
clever|quick to understand;skilled;showing skill;intelligent;smart
client|person using services;customer;person represented;patron
cliff|steep rock face;precipice;vertical rock
climate|weather conditions;prevailing trend;region;atmosphere
climb|go up;move with effort;slope upward;ascent;increase
clock|instrument measuring time;measure time;attain speed;timepiece
close|short distance away;near;intimate;shut;end;near in time
closed|not open;restricted;self-contained;shut;blocked
closely|in close manner;carefully;with little space;intimately
closet|cupboard;small room;shut away;secret;private
cloth|woven fabric;piece of fabric;clergy;material
clothes|items worn;garments;dress;apparel;attire
clothing|clothes collectively;garments;dress;covering
cloud|mass of vapor;mass of smoke;gloom;obscure;become overcast
club|association;heavy stick;playing card;beat;group;nightclub
clue|information solving mystery;word in crossword;inform;hint
coach|bus;instructor;tutor;railroad car;train;teach
coal|hard black rock;piece of coal;ember;fuel;charcoal
coast|seashore;easy movement;move easily;shore;seaside
coat|outer garment;animal's fur;layer;provide with coat;jacket
code|system of rules;system of signals;program;convert to code
coffee|drink from roasted beans;color;cup of coffee;beverage
coin|flat disc as money;invent word;make into coins;piece
cold|low temperature;lacking warmth;unemotional;cold illness;chilly
collapse|fall down;fail suddenly;fold;instance of collapsing;breakdown
colleague|person working with;fellow member;associate;coworker
collect|bring together;fetch;regain control;accumulate;gather
collection|group collected;act of collecting;money collected;anthology
college|educational institution;organized body;school;academy
color|property from light;pigment;influence;give color to;hue
column|upright pillar;vertical section;article;line of people
combination|joining;sequence of numbers;union;blend;merger
combine|join together;unite;harvesting machine;merge;mix
come|move toward;reach;occur;become;arrive;happen
comfort|ease;freedom from pain;console;solace;ease pain
comfortable|providing comfort;free from stress;at ease;sufficient
command|give order;have authority;dominate;order;instruction
comment|remark;explanatory note;express opinion;observation
commerce|buying and selling;financial transactions;trade;business
commercial|concerned with commerce;making profit;advertisement;trade
commission|instruction;order;group;pay;authorize;committee
commit|carry out;pledge;send to prison;perpetrate;dedicate
commitment|dedication;pledge;obligation;engagement;responsibility
committee|group appointed;commission;panel;board
common|occurring often;ordinary;shared;usual;frequent;mutual
communicate|share information;transmit;connect;impart;convey
communication|sharing information;letter;means of sending;contact
community|group living together;fellowship;group;public;society
companion|person spending time with;handbook;match;associate
company|business;companionship;guest;troupe;firm;corporation
compare|estimate similarity;draw analogy;be similar;liken
comparison|comparing;consideration of similarity;likening;analogy
compete|strive for superiority;take part in contest;contend;rival
competition|competing;event;people competing;contest;rivalry
competitive|relating to competition;desiring to win;rivalrous
complain|express dissatisfaction;state grievance;protest;grumble
complaint|act of complaining;reason for dissatisfaction;ailment
complete|having all parts;finish;make whole;total;entire;whole
completely|totally;entirely;fully;absolutely;wholly
complex|consisting of parts;complicated;group of buildings;intricate
complicate|make complex;involve;make difficult;entangle
complicated|hard to understand;intricate;complex;involved
compose|create work;form part of;write;calm;arrange;constitute
composition|combining;work of art;action of composing;structure
comprehensive|including much;thorough;of full scope;complete
computer|electronic device;calculating machine;processor
concentrate|focus attention;gather together;increase strength;focus
concentration|focusing;action of concentrating;strength;density
concept|abstract idea;plan;general notion;conception;thought
concern|relate to;affect;worry;anxiety;business;matter
concerned|worried;interested;involved;anxious;troubled
concerning|about;regarding;in respect to;with reference to
concert|musical performance;agreement;in cooperation;recital
conclude|bring to end;arrive at judgment;arrange;deduce;finish
conclusion|end;judgment reached;settlement;inference;finale
concrete|existing in form;specific;building material;solid;real
condition|state;situation;illness;prerequisite;state of health
conduct|direct;lead;transmit;behavior;direction;guide;manage
conference|formal meeting;linking of phones;association;convention
confidence|trust;self-assurance;secret;certainty;faith
confident|feeling confidence;self-assured;certain;assured;positive
confirm|establish truth;make definite;verify;validate;ratify
conflict|disagreement;incompatibility;fighting;be incompatible;clash
confront|meet face to face;face up to;present itself;challenge
confuse|make bewildered;make unclear;mistake for;perplex;bewilder
confusion|lack of understanding;uncertain state;disorder;chaos
congress|formal meeting;legislature;conference;assembly
connect|join together;associate;put into contact;link;relate;join
connection|relationship;connecting;place joining;link;association
conquer|overcome by force;gain control;climb;defeat;vanquish
conquest|conquering;territory conquered;victory;subjugation
conscience|sense of right and wrong;moral sense;scruples
conscious|aware;aware of;intentional;deliberate;awake
consciousness|state of being aware;awareness;sentience
consequence|result;importance;outcome;effect;significance
consequently|as result;therefore;thus;hence;so
conservative|opposed to change;cautious;moderate;traditional
consider|think about;believe to be;take into account;regard;ponder
considerable|notably large;substantial;significant;sizeable
considerably|by notable amount;significantly;substantially;much
consideration|careful thought;fact taken into account;payment;regard
consist|be composed of;have as feature;be compatible;comprise
consistent|acting same way;compatible;constant;agreeable;coherent
constant|occurring continuously;remaining same;faithful;unchanging
constitute|be part of;be equivalent to;establish;form;make up
constitution|principles;composition;health;charter;makeup
construct|build;form;draw figure;idea;build;create;make
construction|process of building;building;interpretation;structure
consult|seek information;have discussion;take into account;confer
consumer|person buying goods;person using;customer;user
consumption|consuming;amount consumed;use;disease;tuberculosis
contact|touching;meeting;connection;person;get in touch;touch
contain|have within;control;prevent;hold;include;comprise
container|object for holding;box;receptacle;vessel
contemporary|living at same time;modern;person of same time;current
content|satisfaction;extent;substance;satisfy;pleased;happy
contest|competition;dispute;compete for;challenge;competition
context|circumstances;parts surrounding word;setting;background
continent|main land;mainland of Europe;self-restrained;landmass
continual|frequently recurring;constant;repeated;persistent
continue|persist;carry on;remain;resume;go on;maintain
continuous|forming whole;without interruption;constant;unbroken
contract|written agreement;make contract;catch disease;shrink
contrast|difference;enhancement;thing differing;differ;compare
contribute|give to help;write for publication;help cause;donate
contribution|something contributed;action of contributing;donation
control|power to direct;means of restraining;have control;regulate
controversial|causing controversy;disputed;debatable;contentious
controversy|disagreement;dispute;debate;argument;contention
convenience|state of being convenient;useful thing;toilet;ease
convenient|suitable;involving little trouble;near;handy;opportune
convention|way things are done;conference;agreement;custom
conventional|based on convention;traditional;customary;orthodox
conversation|informal talk;instance of talking;discussion;chat
convert|cause to change;change form;adapt;person converted;transform
conviction|being convicted;strong belief;certainty;sentence
convince|cause to believe;persuade;satisfy;assure;persuade
cook|prepare food;undergo cooking;falsify;person who cooks;chef
cookie|sweet biscuit;small data file;biscuit;person
cool|fairly cold;keeping calm;fashionable;make cool;excellent
cooperation|working together;assistance;collaboration;teamwork
cooperative|willing to cooperate;involving cooperation;helpful
cope|deal effectively with;manage;struggle;handle;contend
copy|thing made to look like another;specimen;duplicate;imitate
core|central part;most important part;remove core;center;heart
corn|cereal plant;grain;hard skin area;something trite;maize
corner|place where edges meet;angle;area;difficult situation;trap
corporate|relating to corporation;shared by group;collective
corporation|company;group;municipal authorities;firm;body
correct|free from error;right;put right;mark errors;accurate
correctly|in correct manner;rightly;accurately;properly
correspond|have similarity;be equivalent;communicate;match;agree
correspondence|similarity;letters;communication;agreement
cost|amount paid;effort;be obtainable for;cause loss;price
cottage|small house;dwelling;vacation home;cabin;hut
cotton|soft fiber;plant;fabric;thread;take liking to;cloth
couch|long seat;express in words;lower body;sofa;settee
cough|expel air from lungs;utter;sound;act of coughing;hack
could|past of can;expressing possibility;requesting;might
council|assembly;body elected;meeting;committee;board
count|determine total;include;be significant;rely;number;nobleman
counter|flat surface;token;apparatus;speak against;opposite
country|nation;rural area;music genre;land;nation;state
county|division of state;people of county;shire;region
couple|two people;pair;married pair;link;join;two;pair
courage|ability to face fear;strength;bravery;valor;fortitude
course|direction taken;procedure;dish;series;layer;pursue
court|tribunal;place where court meets;area;attention;try to win
cousin|child of aunt or uncle;relative;kinsman;relation
cover|place over;extend over;deal with;protect;thing covering
cow|mature female bovine;female of elephant;intimidate;cattle
crack|line on surface;sharp noise;attempt;joke;drug;break;split
craft|activity involving skill;skill;cunning;boat;vessel;trade
crash|collision;loud noise;sudden fall;collide;computer failure
crazy|mad;enthusiastic;annoyed;absurd;insane;irrational
cream|thick part of milk;color;best part;cosmetic;elite;best
create|bring into existence;cause;produce;make;invent;originate
creation|action of creating;product;universe;act of making
